SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price,price_per_sqft,property_age,listing_category
1756,2,3,Suburb,2005,276174.4771757177,157.27475921168434,20,High-End
2938,5,3,Urban,1972,350479.3369262881,119.29180970942413,53,High-End
2449,2,3,Urban,1972,240355.2792164594,98.1442544779336,53,Mid-Range
1546,5,1,Rural,2007,184503.3401601976,119.34239337658319,18,Budget
2325,5,2,Suburb,1994,259824.06013757703,111.75228393014066,31,High-End
1921,3,1,Suburb,1969,256325.2326751268,133.43322887825445,56,Mid-Range
1580,2,2,Suburb,2008,78396.45391701184,49.61800880823534,17,Budget
2372,3,3,Urban,1962,274069.5846836298,115.54366976544259,63,High-End
2855,5,1,Urban,1952,384640.67132065655,134.72527892142085,73,High-End
2956,3,1,Urban,2017,350610.44922279194,118.60975954762921,8,High-End
1048,3,3,Urban,1997,131916.58833357706,125.87460718852773,28,Budget
1916,5,3,Urban,2006,245129.28952412255,127.9380425491245,19,Mid-Range
2097,4,3,Rural,2021,222578.89237661747,106.14157957873985,4,Mid-Range
1703,4,1,Urban,1953,198183.55815195,116.37319914970641,72,Mid-Range
1260,2,3,Urban,1966,176032.54348774458,139.70836784741633,59,Budget
1355,3,1,Rural,1963,140389.07770819633,103.6081754304032,62,Budget
2605,2,2,Urban,1970,210421.02347087293,80.77582474889556,55,Mid-Range
2625,3,3,Rural,2021,208658.30348730664,79.48887751897395,4,Mid-Range
2283,2,1,Suburb,2018,267261.5632006286,117.06594971556225,7,High-End
1637,2,3,Rural,2003,188448.87318625144,115.11843200137534,22,Budget
1742,5,3,Suburb,2001,250110.5778115912,143.57668071847945,24,Mid-Range
2318,4,1,Rural,1957,216461.522749686,93.38288298088266,68,Mid-Range
2009,4,1,Suburb,1987,168430.17420533483,83.83781692649818,38,Budget
1930,4,1,Rural,1984,256517.7125945958,132.91073191429834,41,Mid-Range
1640,5,3,Suburb,2010,213272.15933385625,130.0439995938148,15,Mid-Range
1791,4,2,Urban,1999,186789.8582690091,104.29361154048526,26,Budget
2336,5,2,Rural,2016,257880.2459664213,110.39394091028309,9,Mid-Range
1611,3,3,Urban,1994,148121.89920030907,91.94407150857174,31,Budget
2861,5,3,Rural,1969,360769.3490075504,126.09903845073414,56,High-End
1808,2,1,Urban,1964,205899.6521059462,113.88255094355432,61,Mid-Range
2205,2,2,Suburb,2001,242852.8853943124,110.13736299061787,24,Mid-Range
1685,3,2,Suburb,1992,224795.1930535404,133.4096101207955,33,Mid-Range
2851,3,2,Suburb,1979,276481.091931688,96.97688247340864,46,High-End
2387,2,1,Urban,1965,333698.5020096353,139.79828320470688,60,High-End
1187,4,2,Rural,1975,81644.56473533993,68.7822786312889,50,Budget
2592,4,1,Urban,2017,272838.01042497606,105.26157809605559,8,High-End
2566,4,3,Rural,1962,364343.35532717,141.98883683833594,63,High-End
2619,3,1,Suburb,1960,280160.7374212091,106.97240833188587,65,High-End
2687,2,3,Rural,2000,274204.29086898995,102.04848934461852,25,High-End
1984,5,2,Suburb,2003,228769.5251657491,115.30722034563966,22,Mid-Range
1547,3,3,Suburb,1973,236681.95980956007,152.99415630870075,52,Mid-Range
1724,2,3,Urban,1971,161809.1949011603,93.85684159000019,54,Budget
1925,4,3,Urban,1968,202510.4546692446,105.20023619181536,57,Mid-Range
2431,4,1,Suburb,1981,302009.3029738562,124.23253927349083,44,High-End
1875,4,1,Suburb,1984,194923.6642682303,103.95928760972282,41,Mid-Range
1617,2,1,Rural,1998,121459.53184901044,75.11411988188648,27,Budget
1413,4,3,Suburb,2001,168104.07326846817,118.96962014753586,24,Budget
2365,2,3,Rural,1992,208800.44122196172,88.28771299025865,33,Mid-Range
2243,3,3,Urban,2003,254461.01686134044,113.44673065596987,22,Mid-Range
1902,5,2,Suburb,2009,203243.00604487347,106.85752157984936,16,Mid-Range
1162,4,1,Urban,1983,135338.25934216916,116.47010270410426,42,Budget
2974,3,2,Rural,1967,287394.9931168741,96.63584166673641,58,High-End
2243,3,2,Rural,1987,285548.9991554693,127.30673167876473,38,High-End
1269,2,2,Suburb,2010,156919.1165498577,123.6557262016215,15,Budget
1631,3,3,Suburb,2000,180881.39826802773,110.90214486083858,25,Budget
1905,2,1,Suburb,2017,172504.53019711594,90.55355915859104,8,Budget
2871,2,2,Rural,1975,281596.9707614403,98.08323607155705,50,High-End
2423,3,1,Urban,2015,243828.3053101377,100.63074919939649,10,Mid-Range
2205,2,1,Suburb,1970,218187.06710788416,98.95105084257784,55,Mid-Range
2641,2,3,Urban,2013,319018.0324120732,120.79440833474942,12,High-End
2752,2,2,Suburb,1961,249368.21131195725,90.61344887789144,64,Mid-Range
1204,3,3,Urban,2018,139409.11607083364,115.78830238441333,7,Budget
1581,5,1,Rural,2014,180417.3337336092,114.11596061581861,11,Budget
2579,2,2,Suburb,1965,316339.6957147084,122.65982772962715,60,High-End
1840,4,1,Rural,1955,257196.7587460217,139.780847144577,70,Mid-Range
2836,3,1,Rural,2005,325137.92978698824,114.64666071473492,20,High-End
2251,3,3,Urban,1987,304037.02888741164,135.06753837734857,38,High-End
2719,2,2,Urban,1993,319052.64170816686,117.34190574040709,32,High-End
2642,3,3,Rural,1994,291488.9833429066,110.32891118202369,31,High-End
1595,4,3,Suburb,1988,268973.88388985826,168.63566388078888,37,High-End
2873,5,1,Urban,1959,290889.6417785815,101.24944022923128,66,High-End
1249,3,2,Rural,2015,174210.34404653052,139.47985912452404,10,Budget
1874,3,2,Rural,1956,179412.83372843714,95.73790487109773,69,Budget
2464,3,2,Rural,2015,218931.1134545603,88.85191292798714,10,Mid-Range
2556,2,3,Suburb,1993,332312.83644342324,130.01284680885104,32,High-End
1195,4,3,Urban,1994,152033.9592113413,127.22507046974168,31,Budget
1689,5,3,Urban,1957,280596.1724677533,166.13154083348329,68,High-End
2952,4,1,Rural,1954,377184.8120735171,127.77263281623209,71,High-End
2542,4,3,Suburb,1998,293393.8907466076,115.41852507734367,27,High-End
2093,3,2,Rural,2001,235960.8406423269,112.73809873020873,24,Mid-Range
1638,5,1,Urban,1981,315534.10171932506,192.63376173340967,44,High-End
2422,4,2,Suburb,1962,271138.7937142076,111.94830458885532,63,High-End
1671,5,3,Rural,1992,97986.3885296839,58.63937075385033,33,Budget
2783,2,2,Urban,1971,360211.1405111826,129.4326771509819,54,High-End
2226,3,1,Urban,1958,287633.864791309,129.21557268252874,67,High-End
2171,2,3,Urban,1977,263528.3382806776,121.38569243697725,48,High-End
2495,5,1,Suburb,1971,276409.86069321854,110.78551530790322,54,High-End
2678,3,3,Suburb,1962,291846.30530255905,108.97920287623565,63,High-End
1943,2,1,Urban,1967,223305.4921356088,114.9281997609927,58,Mid-Range
1198,3,1,Urban,1975,142072.3561688409,118.59128227783046,50,Budget
2940,2,2,Suburb,2017,363669.021113652,123.69694595702448,8,High-End
2449,4,3,Rural,1977,342026.3800618481,139.65960802852106,48,High-End
2689,3,3,Rural,2020,246961.94696603192,91.84155707178576,5,Mid-Range
1491,5,3,Rural,2021,203129.93845698924,136.23738327095188,4,Mid-Range
2911,3,1,Urban,1962,244864.3357507086,84.11691368969721,63,Mid-Range
1895,5,2,Urban,1999,292255.3198276271,154.22444318080585,26,High-End
1141,2,2,Suburb,1967,108098.10138965408,94.73979087612102,58,Budget
2336,2,3,Urban,1984,258711.5062175361,110.74978862052059,41,Mid-Range
1164,5,3,Rural,1973,204859.34739696927,175.99600291835847,52,Mid-Range
1313,2,1,Urban,1963,107235.3318465615,81.6719968366805,62,Budget
1020,3,1,Rural,1999,128991.81655044672,126.462565245536,26,Budget
2105,2,1,Suburb,2017,165743.7921017471,78.7381435162694,8,Budget
2604,5,2,Suburb,2019,295541.0119537685,113.49501227103245,6,High-End
2154,5,1,Suburb,1983,257814.96696543065,119.69125671561312,42,Mid-Range
2622,4,1,Suburb,1974,178378.5109221263,68.03146869646312,51,Budget
2753,5,1,Suburb,1994,338912.52249298536,123.10661914020537,31,High-End
2956,2,3,Urban,1950,261327.83168744604,88.40589705258662,75,High-End
1983,5,1,Rural,2007,208323.6119075167,105.054771511607,18,Mid-Range
1304,2,3,Rural,1997,136575.87329612768,104.73609915347215,28,Budget
2938,2,2,Rural,1966,244917.9231324967,83.36212496000569,59,Mid-Range
1370,4,2,Urban,2004,182711.0474720521,133.36572808178985,21,Budget
2880,2,3,Rural,1986,309750.7874198504,107.55235674300361,39,High-End
1852,5,3,Rural,2013,152756.87288579042,82.48211278930368,12,Budget
1383,5,1,Urban,1969,241304.24430147605,174.47884620497183,56,Mid-Range
2931,5,1,Rural,1983,453551.1254693392,154.74279272239482,42,High-End
1444,2,2,Urban,1952,142373.06327169127,98.59630420477235,73,Budget
1424,5,2,Rural,2005,138052.91773656948,96.94727369141116,20,Budget
1160,3,2,Suburb,1983,101267.90320594916,87.29991655685272,42,Budget
2201,3,2,Suburb,1972,234230.5578843869,106.42006264624574,53,Mid-Range
1628,5,1,Urban,1992,219416.2198315963,134.77654780810585,33,Mid-Range
2731,2,1,Urban,1981,245241.53548008524,89.7991708092586,44,Mid-Range
1894,5,2,Urban,2015,258411.4148159409,136.4368610432634,10,Mid-Range
1489,3,1,Urban,2007,165024.00391820085,110.82874675500393,18,Budget
2016,2,1,Suburb,2011,229519.97210986892,113.84919251481593,14,Mid-Range
1326,5,3,Suburb,1988,161527.8110411402,121.81584543072414,37,Budget
1597,2,3,Suburb,2006,102084.3953941334,63.922602000083536,19,Budget
2014,5,2,Urban,1966,258300.2948606304,128.2523807649605,59,Mid-Range
1288,4,2,Suburb,1984,206245.37997748924,160.12840060364073,41,Mid-Range
1592,2,2,Suburb,1951,250492.22864668828,157.34436472781928,74,Mid-Range
2687,3,2,Urban,1967,290750.2525817183,108.20627189494542,58,High-End
2596,3,2,Urban,2020,186478.97588674683,71.83319564204423,5,Budget
1572,3,1,Rural,1977,175975.46746018642,111.94368159044937,48,Budget
2377,3,3,Suburb,1995,252863.2526472009,106.37915550997093,30,Mid-Range
1027,5,3,Urban,1954,173563.01493682055,169.00001454412907,71,Budget
1953,5,3,Suburb,1968,161885.9463602695,82.89090955466949,57,Budget
1042,2,1,Suburb,1977,82188.3564340737,78.8755819904738,48,Budget
2704,4,1,Suburb,1983,248005.50547700512,91.71801238054923,42,Mid-Range
1422,4,1,Suburb,1954,147316.6508911117,103.59820737771568,71,Budget
2621,2,3,Urban,1979,274001.3316255606,104.54075987240007,46,High-End
1176,3,3,Rural,1973,100923.2651446088,85.81910301412313,52,Budget
1528,4,3,Suburb,1968,231680.55738585,151.6234014305301,57,Mid-Range
2633,4,3,Rural,1969,368879.9522542678,140.09872854320844,56,High-End
1965,2,3,Suburb,2000,97448.90284561842,49.59231696978036,25,Budget
2517,3,1,Rural,1981,279240.9837719816,110.94198799045753,44,High-End
1197,5,1,Urban,1962,260664.4858989305,217.76481695817083,63,High-End
1609,5,3,Suburb,2010,201999.8011731324,125.5436924631028,15,Mid-Range
2600,4,1,Suburb,1989,235994.98889359325,90.76730342061279,36,Mid-Range
1841,5,3,Rural,2013,185884.92331082368,100.96954009278853,12,Budget
1852,2,3,Urban,2012,266982.5714151564,144.1590558397173,13,High-End
2540,4,3,Suburb,1968,256259.99936031623,100.88976352768356,57,Mid-Range
2537,4,1,Rural,1966,325789.4215947931,128.41522333259482,59,High-End
1021,3,2,Urban,1966,115818.11173447756,113.43595664493394,59,Budget
2135,5,2,Urban,1952,219097.03226481436,102.62156077977254,73,Mid-Range
2080,3,2,Rural,1967,288182.2376202394,138.54915270203816,58,High-End
2089,4,2,Urban,1963,354844.0618195324,169.86312198158564,62,High-End
1841,5,2,Suburb,2012,237786.2795129445,129.16147719334302,13,Mid-Range
1097,3,1,Urban,1952,171366.2200633287,156.21350962928778,73,Budget
2167,5,3,Urban,1974,328805.99080929096,151.73326756312457,51,High-End
2903,4,2,Suburb,1956,298336.153336026,102.76822367758388,69,High-End
1434,4,2,Suburb,1974,170891.7852048976,119.17139832977517,51,Budget
1636,4,2,Urban,1966,129305.92468080536,79.03785127188591,59,Budget
2702,2,3,Rural,2020,319839.2558016902,118.37130118493346,5,High-End
2109,3,2,Suburb,1983,182918.40951874765,86.73229469831563,42,Budget
1587,3,1,Suburb,1998,229363.34533303813,144.52636756965225,27,Mid-Range
1343,4,3,Rural,1976,131244.08012578837,97.72455705568754,49,Budget
2959,3,3,Suburb,2009,336154.7417547979,113.60417092085093,16,High-End
2317,4,3,Rural,1984,250399.98723176052,108.07077567188628,41,Mid-Range
2979,3,3,Suburb,2010,402057.3857728655,134.96387572100218,15,High-End
1570,5,2,Urban,2018,285697.7884935629,181.97311369016745,7,High-End
2673,3,2,Urban,1957,320259.1008401471,119.81260787136068,68,High-End
1610,4,1,Rural,1963,161553.41832659137,100.34373809105054,62,Budget
2727,3,2,Urban,1984,353435.2451928402,129.6058838257573,41,High-End
1242,5,3,Rural,2013,222880.0086542109,179.45250294219878,12,Mid-Range
2854,5,1,Urban,2017,240094.2446901184,84.12552371763083,8,Mid-Range
1560,5,2,Rural,1961,213618.56753198293,136.93497918716855,64,Mid-Range
1959,4,3,Rural,2006,254828.5093161364,130.08091338240754,19,Mid-Range
1031,2,1,Urban,1983,99658.42335666258,96.66190432266012,42,Budget
1390,4,1,Suburb,1984,149127.6007873957,107.28604373193936,41,Budget
1276,5,2,Suburb,1978,103228.63352517936,80.90018301346345,47,Budget
1531,3,3,Rural,1980,201322.9781335225,131.4976996299951,45,Mid-Range
2177,5,2,Rural,2015,204084.14103505493,93.74558614380106,10,Mid-Range
1382,2,1,Urban,1976,188618.08083649445,136.48196876736213,49,Budget
2091,2,3,Urban,1962,244791.656833728,117.06918069523098,63,Mid-Range
2901,5,1,Urban,1991,251995.0278723006,86.86488378914189,34,Mid-Range
1883,4,1,Rural,1969,183741.8112885557,97.57929436460738,56,Budget
1213,2,3,Urban,1952,212935.7754782618,175.54474482956456,73,Mid-Range
2678,5,2,Urban,2003,252127.8907449308,94.14783074866722,22,Mid-Range
1375,4,1,Urban,1966,126086.97050530404,91.69961491294839,59,Budget
1743,3,3,Rural,1965,196865.22499187817,112.94619907738277,60,Mid-Range
1212,4,2,Rural,1987,192831.0210003408,159.10150247552872,38,Mid-Range
1078,2,2,Urban,1968,117633.5860684328,109.12206499854621,57,Budget
2749,4,1,Rural,2013,226370.26913250465,82.34640565023814,12,Mid-Range
1627,4,3,Suburb,2016,249043.39589540823,153.0690816812589,9,Mid-Range
1603,3,2,Rural,1985,303775.7494353473,189.50452241755912,40,High-End
1781,5,3,Urban,1957,199144.35104290937,111.81603090562008,68,Mid-Range
2946,4,2,Urban,1988,362220.4313649161,122.9533032467468,37,High-End
2404,3,3,Rural,2016,223260.5550141461,92.87044717726543,9,Mid-Range
2000,2,3,Urban,1982,283225.9820414174,141.6129910207087,43,High-End
1679,5,3,Suburb,1997,266903.61314943846,158.96582081562744,28,High-End
1057,2,1,Urban,1995,159501.54161119662,150.9002285820214,30,Budget
2819,5,2,Rural,1982,356575.6927155566,126.49013576287925,43,High-End
2049,4,2,Rural,1965,287449.7691594933,140.2878326791085,60,High-End
1880,4,1,Rural,1986,214776.20734768963,114.24266348281364,39,Mid-Range
1446,5,2,Rural,2017,70829.8174967861,48.98327627716881,8,Budget
1065,2,2,Urban,1999,120262.98402362988,112.92298969354918,26,Budget
2944,2,1,Rural,1954,274809.25602942763,93.34553533608276,71,High-End
2783,2,1,Rural,2014,272816.99387201766,98.02982172907569,11,High-End
2277,4,1,Suburb,1993,270239.0504342856,118.682059918439,32,High-End
2922,5,3,Urban,1968,345222.6192632224,118.1460024857024,57,High-End
2991,5,1,Suburb,1995,258926.03199012432,86.56838247747386,30,Mid-Range
2067,2,3,Urban,1955,262246.9465284198,126.87322038143192,70,High-End
2120,4,2,Rural,1997,237816.9349025666,112.17779948234273,28,Mid-Range
2577,5,1,Urban,2014,334629.6946165601,129.85242321170358,11,High-End
2011,5,1,Rural,2008,244904.1706133925,121.78228275156265,17,Mid-Range
1226,2,1,Rural,1981,154917.66248283486,126.36024672335633,44,Budget
1773,2,1,Suburb,1960,170531.22627606476,96.18230472423281,65,Budget
1678,5,2,Urban,1967,238486.81654627676,142.12563560564766,58,Mid-Range
2459,4,3,Urban,1963,311911.99976270297,126.84505887055835,62,High-End
2814,3,2,Rural,1958,315312.6608956592,112.0514075677538,67,High-End
1600,5,3,Suburb,2010,214499.25182975,134.06203239359374,15,Mid-Range
1378,5,2,Suburb,1951,190032.12763322456,137.9043016206274,74,Mid-Range
2201,4,2,Rural,1978,248895.73225179448,113.08302237700795,47,Mid-Range
2450,5,2,Suburb,1966,231846.2276724353,94.63111333568789,59,Mid-Range
2938,3,1,Suburb,2008,258762.1383306112,88.07424721940477,17,Mid-Range
1708,4,1,Suburb,1974,167482.09157679093,98.05743066556846,51,Budget
1306,3,3,Rural,1979,231373.90886495975,177.16225793641635,46,Mid-Range
1778,3,2,Suburb,1957,257274.44572974544,144.698788374435,68,Mid-Range
1503,5,1,Rural,2002,223601.1648961581,148.76990345719102,23,Mid-Range
1267,3,2,Rural,1983,60226.036229769874,47.53436166516959,42,Budget
2609,5,2,Rural,1960,321602.60246500873,123.26661650632761,65,High-End
1007,5,3,Urban,2009,180894.9181319751,179.63745594039236,16,Budget
2943,4,3,Rural,1997,340432.9105864145,115.6754708074803,28,High-End
1507,4,2,Urban,1977,202787.4774646982,134.56368776688666,48,Mid-Range
1475,4,2,Urban,2004,203692.03151233017,138.09629255073233,21,Mid-Range
2320,5,2,Urban,1988,286749.2869390863,123.59883057719236,37,High-End
1163,3,3,Rural,2011,149155.71282479676,128.25082788030676,14,Budget
1484,3,3,Suburb,2012,127678.36275216998,86.03663258232478,13,Budget
2620,4,1,Urban,2006,278907.94160383014,106.45341282588937,19,High-End
2095,4,3,Urban,2003,143133.14767176652,68.32131153783605,22,Budget
1566,5,2,Suburb,1971,168563.01089938532,107.6392151337071,54,Budget
1904,2,2,Urban,1998,247619.16905490204,130.05208458765864,27,Mid-Range
1558,2,3,Urban,2016,121452.29858023988,77.9539785495763,9,Budget
2934,5,1,Urban,1981,281762.2313993115,96.0334803678635,44,High-End
2967,2,3,Rural,1991,250149.0714204823,84.31043863177698,34,Mid-Range
1237,2,3,Urban,2018,254997.23114084345,206.1416581575129,7,Mid-Range
2127,2,2,Suburb,1959,287641.5600723043,135.23345560522063,66,High-End
2233,4,2,Suburb,1989,227150.5289638381,101.72437481587018,36,Mid-Range
1553,3,1,Urban,2003,298798.4605039647,192.40081165741447,22,High-End
1827,3,2,Rural,1957,265677.69890588673,145.4174597186025,68,High-End
1467,4,1,Urban,2021,223645.4544279072,152.45088918057752,4,Mid-Range
2477,4,3,Suburb,1974,273304.20632075,110.33678091269681,51,High-End
2291,4,1,Suburb,1989,288881.12944837386,126.0939019853225,36,High-End
1385,2,3,Suburb,1955,197949.3418844883,142.9237125519771,70,Mid-Range
1774,5,3,Rural,1990,144503.00579327147,81.45603483273476,35,Budget
1847,5,2,Urban,1980,233584.91834865356,126.46719997220009,45,Mid-Range
1386,2,3,Urban,1971,155560.27319552566,112.23684934742111,54,Budget
1876,2,3,Rural,2001,207864.35033409717,110.80189250218399,24,Mid-Range
1258,4,1,Urban,2005,194533.34714709577,154.63700091184083,20,Mid-Range
1282,4,2,Urban,1971,223123.8600723054,174.0435725993022,54,Mid-Range
2649,3,2,Suburb,1968,225521.71668557223,85.13466088545573,57,Mid-Range
2898,4,2,Urban,1970,276008.2547331891,95.24094366224608,55,High-End
1039,2,3,Urban,1952,115874.94168993468,111.52544917221817,73,Budget
1485,3,3,Suburb,2018,222167.79349898803,149.60794175016028,7,Mid-Range
1928,4,1,Urban,1955,193398.71751595687,100.31053813068303,70,Mid-Range
1219,3,2,Urban,2004,98540.85109369954,80.83744962567641,21,Budget
2152,3,2,Urban,1978,254336.63578711983,118.1861690460594,47,Mid-Range
2014,4,3,Rural,1950,124352.7440615304,61.74416289053148,75,Budget
2023,5,1,Rural,2021,234453.7924570668,115.89411391847098,4,Mid-Range
2543,2,3,Rural,2015,388387.6518760313,152.7281367974956,10,High-End
1612,2,2,Suburb,1957,199955.3304992428,124.04176829977841,68,Mid-Range
1927,3,3,Suburb,1992,177180.8769905355,91.94648520525973,33,Budget
2915,5,1,Urban,2017,326510.2444868587,112.01037546718996,8,High-End
1687,5,1,Rural,2011,159679.7220551012,94.65306582993551,14,Budget
2642,4,3,Suburb,1978,229142.59813519125,86.73073358637065,47,Mid-Range
1612,4,2,Urban,1990,170287.5255435648,105.6374227937747,35,Budget
1259,2,3,Urban,1985,106782.63151929794,84.81543408999042,40,Budget
1989,4,3,Suburb,1964,297026.05651482416,149.334367277438,61,High-End
1965,4,1,Urban,2009,316948.7097745721,161.29705332039293,16,High-End
1365,3,3,Rural,2021,154675.50772025387,113.31539027124825,4,Budget
2781,5,1,Urban,1956,290229.16287993954,104.36143936711238,69,High-End
2810,5,1,Suburb,2006,326710.64371818013,116.26713299579365,19,High-End
1543,4,3,Rural,1980,146959.52897714765,95.24272778817087,45,Budget
1648,4,1,Rural,1969,178623.21501759932,108.38787319029085,56,Budget
2547,4,3,Rural,1966,286760.4942497297,112.58755172741644,59,High-End
2930,2,2,Suburb,1961,272043.03256556095,92.84745138756347,64,High-End
1813,2,2,Suburb,1951,139617.31400205288,77.00899834641638,74,Budget
2910,3,1,Urban,1999,327108.7778337745,112.40851471951014,26,High-End
2039,2,2,Urban,1993,243155.5096443917,119.25233430328186,32,Mid-Range
2152,5,2,Urban,1967,201204.883899389,93.49669326179787,58,Mid-Range
1574,2,3,Urban,2005,201584.16692926548,128.07126234387897,20,Mid-Range
2132,5,3,Suburb,2003,235097.275855461,110.27076728680159,22,Mid-Range
2910,2,2,Urban,1957,285903.24768197787,98.24853872232916,68,High-End
2012,2,2,Suburb,1984,128249.27856582704,63.742186165918014,41,Budget
2556,3,3,Urban,1963,316114.988116968,123.67566045264789,62,High-End
1669,4,3,Rural,1983,182254.28860514032,109.19969359205531,42,Budget
1268,4,2,Urban,1967,143884.1887565351,113.47333498149455,58,Budget
2185,4,1,Urban,1951,272931.54744185787,124.91146336011802,74,High-End
2283,3,3,Suburb,1971,320617.2641523179,140.4368217925177,54,High-End
1923,5,3,Urban,1986,203412.42550084103,105.77869240813367,39,Mid-Range
2125,2,2,Suburb,2011,237631.1696000448,111.82643275296226,14,Mid-Range
2529,3,2,Suburb,1952,357697.4764461866,141.43830622625015,73,High-End
2758,5,1,Urban,2007,321218.78008227376,116.46801308276787,18,High-End
2594,3,3,Suburb,2016,269835.6281729401,104.02298695949888,9,High-End
1246,3,2,Urban,2010,238678.6593149766,191.55590635230865,15,Mid-Range
2663,5,2,Suburb,2013,232404.4097563771,87.27165218038945,12,Mid-Range
2818,4,1,Suburb,2003,319694.0848970686,113.44715574771774,22,High-End
2860,2,1,Rural,1971,275568.6761008431,96.35268395134375,54,High-End
2560,4,3,Rural,1977,315530.276300334,123.25401417981797,48,High-End
1130,3,2,Suburb,1966,158644.92558094225,140.39373945216127,59,Budget
1352,5,2,Suburb,1977,10608.359522023326,7.846419764810152,48,Budget
1195,3,3,Suburb,1981,195120.0114445116,163.2803443050306,44,Mid-Range
2816,4,1,Suburb,2017,321258.3608603084,114.08322473732542,8,High-End
2939,4,3,Urban,2010,400094.0086577545,136.13270114248198,15,High-End
1929,4,3,Urban,1999,174309.4930581214,90.36261952209509,26,Budget
2689,2,3,Urban,1979,277487.7075628358,103.19364357115501,46,High-End
2405,4,1,Rural,1990,303638.8573759686,126.2531631500909,35,High-End
2021,2,1,Urban,1955,211268.21431283,104.53647417755072,70,Mid-Range
1644,2,2,Suburb,2002,177846.26656871306,108.17899426320746,23,Budget
1226,4,2,Rural,2007,17865.523422698476,14.572205075610503,18,Budget
1700,5,3,Suburb,1950,193268.0061358196,113.68706243283506,75,Mid-Range
2499,3,2,Urban,1980,341331.65431627136,136.58729664516662,45,High-End
2500,3,1,Rural,1969,306038.31930251187,122.41532772100474,56,High-End
1264,2,2,Suburb,2021,144446.74581223878,114.27748877550536,4,Budget
2395,2,2,Suburb,1987,205534.2256100053,85.81804827140095,38,Mid-Range
2509,2,1,Suburb,2005,253878.98846501217,101.1873210302958,20,Mid-Range
2457,3,2,Urban,1995,182843.821429238,74.4175097392096,30,Budget
1645,2,1,Urban,1959,226101.90880161207,137.4479688763599,66,Mid-Range
1210,5,2,Suburb,1987,185190.44988189044,153.04995858007473,38,Budget
2595,5,2,Urban,1963,279697.47411297244,107.78322701848649,62,High-End
2963,2,3,Suburb,1974,376439.8719317785,127.0468686911166,51,High-End
2400,3,2,Suburb,2009,308498.05685943936,128.5408570247664,16,High-End
2418,4,3,Urban,2009,315292.6392161827,130.3939781704643,16,High-End
2473,3,2,Suburb,1967,340270.543291626,137.59423505524705,58,High-End
1942,4,3,Suburb,1968,321863.0956218512,165.73794831197281,57,High-End
2387,4,2,Suburb,1974,243070.27703354607,101.83086595456476,51,Mid-Range
2899,2,1,Suburb,2003,281121.2188701132,96.97178988275722,22,High-End
1456,5,2,Suburb,1972,146129.51738310236,100.3636795213615,53,Budget
1724,2,1,Suburb,1982,137721.09735134215,79.88462723395716,43,Budget
2751,4,1,Rural,2000,223904.5451236928,81.39023814020095,25,Mid-Range
2249,2,3,Rural,1980,221400.0772684153,98.44378713580049,45,Mid-Range
1981,4,1,Suburb,1955,213111.62740038589,107.57780282704992,70,Mid-Range
2154,2,1,Suburb,1976,171037.53972295893,79.40461454176366,49,Budget
1587,5,3,Suburb,1962,169482.74459881126,106.79442003705813,63,Budget
1475,5,2,Urban,1955,169113.55878183866,114.65326019107705,70,Budget
2821,3,2,Urban,2000,285759.43047907384,101.29721037896981,25,High-End
1985,4,1,Rural,1996,195282.8047745382,98.37924673780262,29,Mid-Range
2300,4,3,Rural,1989,239475.9733164661,104.11998839846352,36,Mid-Range
1155,2,2,Rural,2015,151469.8014612868,131.14268524786738,10,Budget
2783,3,3,Urban,2012,270676.9920750193,97.2608667175779,13,High-End
2241,5,3,Rural,2015,195312.50140127196,87.15417286982239,10,Mid-Range
1189,2,1,Suburb,1986,132634.3703696796,111.55119459182471,39,Budget
2440,3,3,Rural,2008,229133.683053438,93.90724715304836,17,Mid-Range
1980,5,1,Rural,1987,242969.5914191276,122.71191485814525,38,Mid-Range
2698,2,3,Suburb,1972,216124.6817714633,80.1055158530257,53,Mid-Range
2715,5,1,Suburb,2020,319328.9945971654,117.61657259564102,5,High-End
1545,4,2,Rural,2018,180511.8657560424,116.8361590653996,7,Budget
1040,3,3,Urban,2010,160345.98626709802,154.17883294913273,15,Budget
1306,5,1,Rural,1974,68571.64038865441,52.50508452423768,51,Budget
1942,3,2,Urban,1952,124893.43308085747,64.31175750816554,73,Budget
1337,2,1,Urban,1983,145134.33625728253,108.55223355069748,42,Budget
2337,3,1,Suburb,1982,194750.6966010792,83.33363140824954,43,Mid-Range
2098,2,1,Urban,1970,197617.7140245098,94.19338132722106,55,Mid-Range
1952,3,1,Rural,2003,285516.157407148,146.2685232618586,22,High-End
1278,2,1,Urban,2013,152510.19942345045,119.33505432194872,12,Budget
2199,2,3,Urban,1969,192154.86909300627,87.3828417885431,56,Mid-Range
1895,2,2,Rural,1980,216072.91795935805,114.02264799966125,45,Mid-Range
2685,5,2,Suburb,1992,293911.4044378614,109.4642102189428,33,High-End
1272,4,2,Urban,1999,157517.30861550814,123.83436211911017,26,Budget
1836,3,3,Rural,1962,333349.09197755455,181.56268626228461,63,High-End
1619,4,1,Urban,1990,225407.21192242205,139.2261963696245,35,Mid-Range
2674,4,3,Urban,2013,210995.73614874075,78.90640843258817,12,Mid-Range
1861,4,1,Urban,1982,342071.53597634105,183.81060503833478,43,High-End
2806,4,3,Urban,1989,282795.36274137034,100.78238158993953,36,High-End
